From	To
P01706	IGLV2-11
P01714	IGLV3-19
P01718	IGLV3-27
P01732	CD8A
P01742	IGHV1-69
P01780	IGHV3-7
P01834	IGKC
P01859	IGHG2
P01861	IGHG4
P01876	IGHA1
P01911	HLA-DRB1
P02042	HBD
P02452	COL1A1
P02461	COL3A1
P02545	LMNA
P02549	SPTA1
P02647	APOA1
P02649	APOE
P02654	APOC1
P02671	FGA
P02675	FGB
P02679	FGG
P02686	MBP
P02730	SLC4A1
P02743	APCS
P02745	C1QA
P02746	C1QB
P02747	C1QC
P02748	C9
P02749	APOH
P02750	LRG1
P02751	FN1
P02753	RBP4
P02760	AMBP
P02763	ORM1
P02765	AHSG
P02768	ALB
P02775	PPBP
P02776	PF4
P02786	TFRC
P02787	TF
P02788	LTF
P02790	HPX
P02792	FTL
P02794	FTH1
P02795	MT2A
P03928	MT-ATP8
P03951	F11
P04003	C4BPA
P04004	VTN
P04040	CAT
P04053	DNTT
P04066	FUCA1
P04075	ALDOA
P04080	CSTB
P04083	ANXA1
P04085	PDGFA
P04114	APOB
P04156	PRNP
P04180	LCAT
P04196	HRG
P04217	A1BG
P04220	IGHM
P04233	CD74
P04234	CD3D
P04264	KRT1
P04275	VWF
P04406	GAPDH
P04424	ASL
P04440	HLA-DPB1
P04732	MT1E
P04792	HSPB1
P04839	CYBB
P04843	RPN1
P04844	RPN2
P04899	GNAI2
P04920	SLC4A2
P04921	GYPC
P05023	ATP1A1
P05067	APP
P05089	ARG1
P05091	ALDH2
P05106	ITGB3
P05107	ITGB2
P05109	S100A8
P05114	HMGN1
P05120	SERPINB2
P05121	SERPINE1
P05141	SLC25A5
P05154	SERPINA5
P05155	SERPING1
P05161	ISG15
P05164	MPO
P05165	PCCA
P05198	EIF2S1
P05204	HMGN2
P05386	RPLP1
P05387	RPLP2
P05388	RPLP0
P05413	FABP3
P05452	CLEC3B
P05455	SSB
P05543	SERPINA7
P05546	SERPIND1
P05556	ITGB1
P05771	PRKCB
P06127	CD5
P06132	UROD
P06241	FYN
P06312	IGKV4-1
P06396	GSN
P06400	RB1
P06576	ATP5F1B
P06681	C2
P06702	S100A9
P06703	S100A6
P06727	APOA4
P06729	CD2
P06733	ENO1
P06737	PYGL
P06746	POLB
P06748	NPM1
P06753	TPM3
P06756	ITGAV
P06858	LPL
P07093	SERPINE2
P07195	LDHB
P07199	CENPB
P07203	GPX1
P07205	PGK2
P07225	PROS1
P07237	P4HB
P07305	H1-0
P07332	FES
P07339	CTSD
P07355	ANXA2
P07357	C8A
P07359	GP1BA
P07360	C8G
P07384	CAPN1
P07437	TUBB
P07451	CA3
P07686	HEXB
P07737	PFN1
P07738	BPGM
P07741	APRT
P07766	CD3E
P07814	EPRS1
P07858	CTSB
P07900	HSP90AA1
P07902	GALT
P07910	HNRNPC
P07919	UQCRH
P07948	LYN
P07954	FH
P07992	ERCC1
P07996	THBS1
P08047	SP1
P08133	ANXA6
P08183	ABCB1
P08236	GUSB
P08237	PFKM
P08238	HSP90AB1
P08240	SRPRA
P08246	ELANE
P08254	MMP3
P08311	CTSG
P08397	HMBS
P08514	ITGA2B
P08519	LPA
P08559	PDHA1
P08567	PLEK
P08571	CD14
P08574	CYC1
P08579	SNRPB2
P08603	CFH
P08621	SNRNP70
P08648	ITGA5
P08651	NFIC
P08670	VIM
P08697	SERPINF2
P08708	RPS17
P08754	GNAI3
P08758	ANXA5
P08779	KRT16
P08962	CD63
P09012	SNRPA
P09104	ENO2
P09110	ACAA1
P09132	SRP19
P09211	GSTP1
P09327	VIL1
P09382	LGALS1
P09417	QDPR
P09429	HMGB1
P09467	FBP1
P09486	SPARC
P09493	TPM1
P09496	CLTA
P09497	CLTB
P09525	ANXA4
P09543	CNP
P09601	HMOX1
P09622	DLD
P09651	HNRNPA1
P09661	SNRPA1
P09668	CTSH
P09669	COX6C
P09693	CD3G
P09769	FGR
P09871	C1S
P09874	PARP1
P09914	IFIT1
P09917	ALOX5
P09960	LTA4H
P09972	ALDOC
P0C0S5	H2AZ1
P0C7M8	CLEC2L
P0C7P3	SLFN14
P0CG12	DERPC
P0CG22	DHRS4L1
P0CG34	TMSB15A
P10124	SRGN
P10144	GZMB
P10153	RNASE2
P10155	RO60
P10253	GAA
P10301	RRAS
P10316	HLA-A
P10319	HLA-B
P10412	H1-4
P10515	DLAT
P10599	TXN
P10606	COX5B
P10643	C7
P10644	PRKAR1A
P10720	PF4V1
P10746	UROS
P10768	ESD
P10809	HSPD1
P10909	CLU
P11021	HSPA5
P11047	LAMC1
P11049	CD37
P11117	ACP2
P11142	HSPA8
P11166	SLC2A1
P11169	SLC2A3
P11171	EPB41
P11172	UMPS
P11177	PDHB
P11182	DBT
P11215	ITGAM
P11216	PYGB
P11233	RALA
P11234	RALB
P11274	BCR
P11277	SPTB
P11279	LAMP1
P11387	TOP1
P11413	G6PD
P11586	MTHFD1
P11717	IGF2R
P11766	ADH5
P11908	PRPS2
P11940	PABPC1
P12004	PCNA
P12081	HARS1
P12109	COL6A1
P12111	COL6A3
P12236	SLC25A6
P12268	IMPDH2
P12270	TPR
P12429	ANXA3
P12544	GZMA
P12724	RNASE3
P12814	ACTN1
P12829	MYL4
P12931	SRC
P12955	PEPD
P12956	XRCC6
P13010	XRCC5
P13073	COX4I1
P13224	GP1BB
P13284	IFI30
P13473	LAMP2
P13489	RNH1
P13498	CYBA
P13501	CCL5
P13598	ICAM2
P13611	VCAN
P13612	ITGA4
P13639	EEF2
P13640	MT1G
P13645	KRT10
P13647	KRT5
P13667	PDIA4
P13671	C6
P13716	ALAD
P13746	HLA-A
P13747	HLA-E
P13761	HLA-DRB1
P13765	HLA-DOB
P13796	LCP1
P13797	PLS3
P13804	ETFA
P13807	GYS1
P13861	PRKAR2A
P13984	GTF2F2
P14174	MIF
P14209	CD99
P14210	HGF
P14222	PRF1
P14316	IRF2
P14317	HCLS1
P14324	FDPS
P14543	NID1
P14550	AKR1A1
P14618	PKM
P14621	ACYP2
P14625	HSP90B1
P14678	SNRPB
P14735	IDE
P14770	GP9
P14780	MMP9
P14854	COX6B1
P14859	POU2F1
P14866	HNRNPL
P14868	DARS1
P14927	UQCRB
P15104	GLUL
P15121	AKR1B1
P15144	ANPEP
P15153	RAC2
P15170	GSPT1
P15291	B4GALT1
P15374	UCHL3
P15498	VAV1
P15529	CD46
P15848	ARSB
P15880	RPS2
P15907	ST6GAL1
P15924	DSP
P15927	RPA2
P15954	COX7C
P16070	CD44
P16104	H2AX
P16109	SELP
P16150	SPN
P16152	CBR1
P16157	ANK1
P16188	HLA-A
P16219	ACADS
P16220	CREB1
P16278	GLB1
P16284	PECAM1
P16298	PPP3CB
P16333	NCK1
P16383	GCFC2
P16401	H1-5
P16402	H1-3
P16403	H1-2
P16452	EPB42
P16455	MGMT
P16591	FER
P16615	ATP2A2
P16671	CD36
P16885	PLCG2
P16930	FAH
P16949	STMN1
P16989	YBX3
P17026	ZNF22
P17029	ZKSCAN1
P17050	NAGA
P17096	HMGA1
P17152	TMEM11
P17174	GOT1
P17252	PRKCA
P17275	JUNB
P17301	ITGA2
P17480	UBTF
P17535	JUND
P17568	NDUFB7
P17612	PRKACA
P17655	CAPN2
P17812	CTPS1
P17813	ENG
P17858	PFKL
P17931	LGALS3
P17936	IGFBP3
P17980	PSMC3
P17987	TCP1
P18031	PTPN1
P18054	ALOX12
P18065	IGFBP2
P18074	ERCC2
P18077	RPL35A
P18084	ITGB5
P18085	ARF4
P18124	RPL7
P18206	VCL
P18433	PTPRA
P18440	NAT1
P18463	HLA-B
P18583	SON
P18669	PGAM1
P18754	RCC1
P18859	ATP5PF
P18887	XRCC1
P19086	GNAZ
P19174	PLCG1
P19256	CD58
P19338	NCL
P19367	HK1
P19387	POLR2C
P19388	POLR2E
P19397	CD53
P19440	GGT1
P19447	ERCC3
P19474	TRIM21
P19525	EIF2AK2
P19532	TFE3
P19623	SRM
P19652	ORM2
P19784	CSNK2A2
P19823	ITIH2
P19827	ITIH1
P19838	NFKB1
P19878	NCF2
P19971	TYMP
P20020	ATP2B1
P20036	HLA-DPA1
P20042	EIF2S2
P20073	ANXA7
P20138	CD33
P20160	AZU1
P20290	BTF3
P20338	RAB4A
P20339	RAB5A
P20340	RAB6A
P20472	PVALB
P20585	MSH3
P20591	MX1
P20592	MX2
P20618	PSMB1
P20645	M6PR
P20674	COX5A
P20700	LMNB1
P20701	ITGAL
P20718	GZMH
P20933	AGA
P20936	RASA1
P20962	PTMS
P20963	CD247
P21266	GSTM3
P21281	ATP6V1B2
P21283	ATP6V1C1
P21291	CSRP1
P21333	FLNA
P21399	ACO1
P21462	FPR1
P21580	TNFAIP3
P21796	VDAC1
P21912	SDHB
P21953	BCKDHB
P21964	COMT
P22033	MMUT
P22059	OSBP
P22087	FBL
P22102	GART
P22234	PAICS
P22307	SCP2
P22314	UBA1
P22352	GPX3
P22415	USF1
P22626	HNRNPA2B1
P22670	RFX1
P22681	CBL
P22692	IGFBP4
P22694	PRKACB
P22695	UQCRC2
P22792	CPN2
P22830	FECH
P23109	AMPD1
P23141	CES1
P23142	FBLN1
P23193	TCEA1
P23219	PTGS1
P23229	ITGA6
P23246	SFPQ
P23258	TUBG1
P23284	PPIB
P23368	ME2
P23381	WARS1
P23396	RPS3
P23458	JAK1
P23497	SP100
P23526	AHCY
P23560	BDNF
P23634	ATP2B4
P23743	DGKA
P23919	DTYMK
P24158	PRTN3
P24311	COX7B
P24386	CHM
P24534	EEF1B2
P24539	ATP5PB
P24588	AKAP5
P24593	IGFBP5
P24666	ACP1
P24723	PRKCH
P24752	ACAT1
P24844	MYL9
P25024	CXCR1
P25025	CXCR2
P25098	GRK2
P25105	PTAFR
P25205	MCM3
P25208	NFYB
P25311	AZGP1
P25325	MPST
P25398	RPS12
P25490	YY1
P25685	DNAJB1
P25686	DNAJB2
P25705	ATP5F1A
P25774	CTSS
P25786	PSMA1
P25788	PSMA3
P25789	PSMA4
P25815	S100P
P25942	CD40
P26010	ITGB7
P26038	MSN
P26196	DDX6
P26358	DNMT1
P26368	U2AF2
P26373	RPL13
P26447	S100A4
P26583	HMGB2
P26599	PTBP1
P26639	TARS1
P26640	VARS1
P26641	EEF1G
P26885	FKBP2
P26951	IL3RA
P27105	STOM
P27169	PON1
P27338	MAOB
P27348	YWHAQ
P27361	MAPK3
P27449	ATP6V0C
P27487	DPP4
P27635	RPL10
P27694	RPA1
P27695	APEX1
P27701	CD82
P27708	CAD
P27797	CALR
P27824	CANX
P27918	CFP
P27986	PIK3R1
P27987	ITPKB
P28062	PSMB8
P28065	PSMB9
P28066	PSMA5
P28068	HLA-DMB
P28070	PSMB4
P28072	PSMB6
P28290	ITPRID2
P28331	NDUFS1
P28482	MAPK1
P28676	GCA
P28799	GRN
P28838	LAP3
P28906	CD34
P28907	CD38
P29074	PTPN4
P29084	GTF2E2
P29218	IMPA1
P29279	CCN2
P29350	PTPN6
P29353	SHC1
P29372	MPG
P29401	TKT
P29466	CASP1
P29558	RBMS1
P29590	PML
P29966	MARCKS
P30038	ALDH4A1
P30039	PBLD
P30040	ERP29
P30041	PRDX6
P30043	BLVRB
P30044	PRDX5
P30048	PRDX3
P30049	ATP5F1D
P30050	RPL12
P30084	ECHS1
P30085	CMPK1
P30086	PEBP1
P30101	PDIA3
P30153	PPP2R1A
P30154	PPP2R1B
P30203	CD6
P30260	CDC27
P30273	FCER1G
P30405	PPIF
P30419	NMT1
P30461	HLA-B
P30466	HLA-B
P30479	HLA-B
P30486	HLA-B
P30487	HLA-B
P30495	HLA-B
P30501	HLA-C
P30520	ADSS2
P30533	LRPAP1
P30536	TSPO
P30566	ADSL
P30613	PKLR
P30622	CLIP1
P30626	SRI
P30740	SERPINB1
P30876	POLR2B
P31040	SDHA
P31146	CORO1A
P31150	GDI1
P31153	MAT2A
P31323	PRKAR2B
P31483	TIA1
P31645	SLC6A4
P31689	DNAJA1
P31749	AKT1
P31751	AKT2
P31930	UQCRC1
P31937	HIBADH
P31939	ATIC
P31942	HNRNPH3
P31946	YWHAB
P31947	SFN
P31948	STIP1
P31949	S100A11
P31995	FCGR2C
P32019	INPP5B
P32119	PRDX2
P32121	ARRB2
P32189	GK
P32248	CCR7
P32249	GPR183
P32320	CDA
P32455	GBP1
P32456	GBP2
P32519	ELF1
P32942	ICAM3
P33121	ACSL1
P33176	KIF5B
P33240	CSTF2
P33241	LSP1
P33316	DUT
P33527	ABCC1
P33908	MAN1A1
P33991	MCM4
P33992	MCM5
P33993	MCM7
P34896	SHMT1
P34897	SHMT2
P34910	EVI2B
P34913	EPHX2
P34932	HSPA4
P34949	MPI
P35232	PHB1
P35241	RDX
P35244	RPA3
P35249	RFC4
P35251	RFC1
P35268	RPL22
P35269	GTF2F1
P35270	SPR
P35475	IDUA
P35527	KRT9
P35573	AGL
P35579	MYH9
P35606	COPB2
P35611	ADD1
P35612	ADD2
P35613	BSG
P35625	TIMP3
P35626	GRK3
P35658	NUP214
P35659	DEK
P35754	GLRX
P35813	PPM1A
P35858	IGFALS
P35908	KRT2
P35914	HMGCL
P35998	PSMC2
P36404	ARL2
P36405	ARL3
P36507	MAP2K2
P36542	ATP5F1C
P36543	ATP6V1E1
P36551	CPOX
P36578	RPL4
P36639	NUDT1
P36776	LONP1
P36871	PGM1
P36915	GNL1
P36954	POLR2I
P36955	SERPINF1
P36957	DLST
P36959	GMPR
P37108	SRP14
P37198	NUP62
P37235	HPCAL1
P37268	FDFT1
P37802	TAGLN2
P37837	TALDO1
P37840	SNCA
P38117	ETFB
P38159	RBMX
P38606	ATP6V1A
P38646	HSPA9
P38919	EIF4A3
P38935	IGHMBP2
P39019	RPS19
P39023	RPL3
P39656	DDOST
P39687	ANP32A
P39748	FEN1
P40121	CAPG
P40197	GP5
P40199	CEACAM6
P40222	TXLNA
P40227	CCT6A
P40238	MPL
P40306	PSMB10
P40692	MLH1
P40763	STAT3
P40818	USP8
P40925	MDH1
P40926	MDH2
P40939	HADHA
P41091	EIF2S3
P41212	ETV6
P41214	EIF2D
P41218	MNDA
P41223	BUD31
P41226	UBA7
P41227	NAA10
P41236	PPP1R2
P41240	CSK
P41250	GARS1
P41252	IARS1
P42025	ACTR1B
P42126	ECI1
P42166	TMPO
P42167	TMPO
P42224	STAT1
P42226	STAT6
P42229	STAT5A
P42263	GRIA3
P42285	MTREX
P42331	ARHGAP25
P42345	MTOR
P42356	PI4KA
P42566	EPS15
P42574	CASP3
P42679	MATK
P42680	TEC
P42704	LRPPRC
P42765	ACAA2
P42766	RPL35
P42768	WAS
P42773	CDKN2C
P42785	PRCP
P42858	HTT
P42892	ECE1
P43034	PAFAH1B1
P43119	PTGIR
P43246	MSH2
P43250	GRK6
P43304	GPD2
P43353	ALDH3B1
P43403	ZAP70
P43405	SYK
P43490	NAMPT
P43652	AFM
P43686	PSMC4
P45880	VDAC2
P45954	ACADSB
P45973	CBX5
P45974	USP5
P45985	MAP2K4
P46013	MKI67
P46060	RANGAP1
P46063	RECQL
P46087	NOP2
P46100	ATRX
P46109	CRKL
P46459	NSF
P46527	CDKN1B
P46734	MAP2K3
P46776	RPL27A
P46777	RPL5
P46778	RPL21
P46779	RPL28
P46781	RPS9
P46782	RPS5
P46783	RPS10
P46939	UTRN
P46940	IQGAP1
P46976	GYG1
P46977	STT3A
P47224	RABIF
P47712	PLA2G4A
P47755	CAPZA2
P47897	QARS1
P47914	RPL29
P47974	ZFP36L2
P47985	UQCRFS1
P48047	ATP5PO
P48059	LIMS1
P48060	GLIPR1
P48147	PREP
P48201	ATP5MC3
P48382	RFX5
P48426	PIP4K2A
P48449	LSS
P48506	GCLC
P48507	GCLM
P48509	CD151
P48553	TRAPPC10
P48556	PSMD8
P48595	SERPINB10
P48634	PRRC2A
P48637	GSS
P48643	CCT5
P48651	PTDSS1
P48723	HSPA13
P48729	CSNK1A1
P48735	IDH2
P48736	PIK3CG
P48739	PITPNB
P48960	ADGRE5
P49023	PXN
P49069	CAMLG
P49137	MAPKAPK2
P49184	DNASE1L1
P49189	ALDH9A1
P49207	RPL34
P49247	RPIA
P49257	LMAN1
P49321	NASP
P49327	FASN
P49368	CCT3
P49407	ARRB1
P49411	TUFM
P49441	INPP1
P49458	SRP9
P49588	AARS1
P49589	CARS1
P49593	PPM1F
P49641	MAN2A2
P49643	PRIM2
P49662	CASP4
P49703	ARL4D
P49711	CTCF
P49715	CEBPA
P49720	PSMB3
P49721	PSMB2
P49736	MCM2
P49747	COMP
P49748	ACADVL
P49753	ACOT2
P49755	TMED10
P49756	RBM25
P49757	NUMB
P49767	VEGFC
P49770	EIF2B2
P49773	HINT1
P49790	NUP153
P49792	RANBP2
P49796	RGS3
P49815	TSC2
P49821	NDUFV1
P49840	GSK3A
P49841	GSK3B
P49863	GZMK
P49903	SEPHS1
P49908	SELENOP
P49914	MTHFS
P49915	GMPS
P49916	LIG3
P49959	MRE11
P50053	KHK
P50135	HNMT
P50148	GNAQ
P50213	IDH3A
P50225	SULT1A1
P50238	CRIP1
P50336	PPOX
P50395	GDI2
P50402	EMD
P50416	CPT1A
P50440	GATM
P50452	SERPINB8
P50453	SERPINB9
P50454	SERPINH1
P50502	ST13
P50552	VASP
P50570	DNM2
P50579	METAP2
P50583	NUDT2
P50749	RASSF2
P50851	LRBA
P50914	RPL14
P50990	CCT8
P50991	CCT4
P50995	ANXA11
P51003	PAPOLA
P51114	FXR1
P51116	FXR2
P51124	GZMM
P51148	RAB5C
P51149	RAB7A
P51153	RAB13
P51157	RAB28
P51159	RAB27A
P51397	DAP
P51452	DUSP3
P51531	SMARCA2
P51553	IDH3G
P51570	GALK1
P51571	SSR4
P51572	BCAP31
P51575	P2RX1
P51606	RENBP
P51608	MECP2
P51649	ALDH5A1
P51659	HSD17B4
P51665	PSMD7
P51668	UBE2D1
P51688	SGSH
P51790	CLCN3
P51809	VAMP7
P51812	RPS6KA3
P51828	ADCY7
P51858	HDGF
P51884	LUM
P51970	NDUFA8
P51991	HNRNPA3
P52209	PGD
P52272	HNRNPM
P52292	KPNA2
P52294	KPNA1
P52298	NCBP2
P52306	RAP1GDS1
P52333	JAK3
P52564	MAP2K6
P52566	ARHGDIB
P52594	AGFG1
P52597	HNRNPF
P52630	STAT2
P52657	GTF2A2
P52701	MSH6
P52747	ZNF143
P52788	SMS
P52789	HK2
P52790	HK3
P52815	MRPL12
P52824	DGKQ
P52888	THOP1
P52907	CAPZA1
P52948	NUP98
P53004	BLVRA
P53007	SLC25A1
P53041	PPP5C
P53367	ARFIP1
P53384	NUBP1
P53396	ACLY
P53567	CEBPG
P53582	METAP1
P53597	SUCLG1
P53602	MVD
P53609	PGGT1B
P53618	COPB1
P53621	COPA
P53634	CTSC
P53677	AP3M2
P53701	HCCS
P53779	MAPK10
P53801	PTTG1IP
P53990	IST1
P53992	SEC24C
P53999	SUB1
P54136	RARS1
P54198	HIRA
P54278	PMS2
P54289	CACNA2D1
P54577	YARS1
P54578	USP14
P54619	PRKAG1
P54709	ATP1B3
P54725	RAD23A
P54727	RAD23B
P54802	NAGLU
P54819	AK2
P54886	ALDH18A1
P54920	NAPA
P54922	ADPRH
P55010	EIF5
P55039	DRG2
P55060	CSE1L
P55072	VCP
P55084	HADHB
P55160	NCKAP1L
P55209	NAP1L1
P55263	ADK
P55265	ADAR
P55273	CDKN2D
P55285	CDH6
P55316	FOXG1
P55786	NPEPPS
P55795	HNRNPH2
P55809	OXCT1
P55884	EIF3B
P55957	BID
P56181	NDUFV3
P56182	RRP1
P56192	MARS1
P56202	CTSW
P56279	TCL1A
P56377	AP1S2
P56378	ATP5MJ
P56381	ATP5F1E
P56385	ATP5ME
P56537	EIF6
P56962	STX17
P57088	TMEM33
P57678	GEMIN4
P57729	RAB38
P57740	NUP107
P57772	EEFSEC
P58215	LOXL3
P58546	MTPN
P59666	DEFA3
P60059	SEC61G
P60174	TPI1
P60228	EIF3E
P60468	SEC61B
P60520	GABARAPL2
P60709	ACTB
P60842	EIF4A1
P60866	RPS20
P60891	PRPS1
P60903	S100A10
P60953	CDC42
P60981	DSTN
P61006	RAB8A
P61009	SPCS3
P61011	SRP54
P61018	RAB4B
P61019	RAB2A
P61020	RAB5B
P61026	RAB10
P61081	UBE2M
P61086	UBE2K
P61088	UBE2N
P61106	RAB14
P61158	ACTR3
P61160	ACTR2
P61163	ACTR1A
P61165	TMEM258
P61201	COPS2
P61204	ARF3
P61221	ABCE1
P61224	RAP1B
P61225	RAP2B
P61244	MAX
P61247	RPS3A
P61254	RPL26
P61289	PSME3
P61313	RPL15
P61326	MAGOH
P61353	RPL27
P61513	RPL37A
P61586	RHOA
P61601	NCALD
P61604	HSPE1
P61626	LYZ
P61758	VBP1
P61764	STXBP1
P61769	B2M
P61803	DAD1
P61927	RPL37
P61952	GNG11
P61956	SUMO2
P61960	UFM1
P61962	DCAF7
P61970	NUTF2
P61978	HNRNPK
P61981	YWHAG
P62070	RRAS2
P62081	RPS7
P62136	PPP1CA
P62140	PPP1CB
P62191	PSMC1
P62195	PSMC5
P62241	RPS8
P62244	RPS15A
P62249	RPS16
P62258	YWHAE
P62263	RPS14
P62266	RPS23
P62269	RPS18
P62273	RPS29
P62277	RPS13
P62280	RPS11
P62304	SNRPE
P62306	SNRPF
P62310	LSM3
P62312	LSM6
P62314	SNRPD1
P62316	SNRPD2
P62318	SNRPD3
P62328	TMSB4X
P62330	ARF6
P62424	RPL7A
P62495	ETF1
P62633	CNBP
P62701	RPS4X
P62714	PPP2CB
P62736	ACTA2
P62750	RPL23A
P62753	RPS6
P62820	RAB1A
P62829	RPL23
P62834	RAP1A
P62847	RPS24
P62851	RPS25
P62854	RPS26
P62857	RPS28
P62873	GNB1
P62877	RBX1
P62879	GNB2
P62888	RPL30
P62906	RPL10A
P62913	RPL11
P62917	RPL8
P62937	PPIA
P62942	FKBP1A
P62979	RPS27A
P62993	GRB2
P62995	TRA2B
P63000	RAC1
P63010	AP2B1
P63104	YWHAZ
P63151	PPP2R2A
P63167	DYNLL1
P63173	RPL38
P63218	GNG5
P63220	RPS21
P63244	RACK1
P63313	TMSB10
P67775	PPP2CA
P67812	SEC11A
P67936	TPM4
P68032	ACTC1
P68036	UBE2L3
P68104	EEF1A1
P68366	TUBA4A
P68371	TUBB4B
P68400	CSNK2A1
P68402	PAFAH1B2
P68871	HBB
P69891	HBG1
P69892	HBG2
P78316	NOP14
P78318	IGBP1
P78324	SIRPA
P78332	RBM6
P78346	RPP30
P78347	GTF2I
P78356	PIP4K2B
P78362	SRPK2
P78371	CCT2
P78406	RAE1
P78410	BTN3A2
P78417	GSTO1
P78527	PRKDC
P78536	ADAM17
P78537	BLOC1S1
P78549	NTHL1
P78560	CRADD
P80217	IFI35
P80511	S100A12
P80723	BASP1
P81605	DCD
P82094	TMF1
P82909	KGD4
P82912	MRPS11
P83731	RPL24
P83876	TXNL4A
P83916	CBX1
P84085	ARF5
P84090	ERH
P84095	RHOG
P84098	RPL19
P84101	SERF2
P84103	SRSF3
P84157	MXRA7
P85037	FOXK1
P98082	DAB2
P98088	MUC5AC
P98160	HSPG2
P98170	XIAP
P98171	ARHGAP4
P98172	EFNB1
P98179	RBM3
P99999	CYCS
Q00005	PPP2R2B
Q00013	MPP1
Q00059	TFAM
Q00169	PITPNA
Q00325	SLC25A3
Q00403	GTF2B
Q00577	PURA
Q00613	HSF1
Q00653	NFKB2
Q00688	FKBP3
Q00722	PLCB2
Q00765	REEP5
Q00796	SORD
Q00839	HNRNPU
Q01081	U2AF1
Q01082	SPTBN1
Q01085	TIAL1
Q01105	SET
Q01130	SRSF2
Q01196	RUNX1
Q01432	AMPD3
Q01433	AMPD2
Q01459	CTBS
Q01469	FABP5
Q01518	CAP1
Q01543	FLI1
Q01628	IFITM3
Q01658	DR1
Q01780	EXOSC10
Q01804	OTUD4
Q01813	PFKP
Q01831	XPC
Q01844	EWSR1
Q01970	PLCB3
Q02040	AKAP17A
Q02083	NAAA
Q02086	SP2
Q02108	GUCY1A1
Q02127	DHODH
Q02252	ALDH6A1
Q02318	CYP27A1
Q02338	BDH1
Q02539	H1-1
Q02543	RPL18A
Q02750	MAP2K1
Q02790	FKBP4
Q02809	PLOD1
Q02818	NUCB1
Q02878	RPL6
Q02880	TOP2B
Q02978	SLC25A11
Q03164	KMT2A
Q03169	TNFAIP2
Q03181	PPARD
Q03188	CENPC
Q03252	LMNB2
Q03405	PLAUR
Q04206	RELA
Q04323	UBXN1
Q04446	GBE1
Q04637	EIF4G1
Q04656	ATP7A
Q04727	TLE4
Q04759	PRKCQ
Q04760	GLO1
Q04771	ACVR1
Q04837	SSBP1
Q04864	REL
Q04917	YWHAH
Q04941	PLP2
Q05048	CSTF1
Q05086	UBE3A
Q05193	DNM1
Q05209	PTPN12
Q05315	CLC
Q05519	SRSF11
Q05655	PRKCD
Q05682	CALD1
Q05823	RNASEL
Q05D32	CTDSPL2
Q06033	ITIH3
Q06124	PTPN11
Q06136	KDSR
Q06187	BTK
Q06203	PPAT
Q06210	GFPT1
Q06265	EXOSC9
Q06323	PSME1
Q06481	APLP2
Q06546	GABPA
Q06547	GABPB1
Q06587	RING1
Q06787	FMR1
Q06830	PRDX1
Q07021	C1QBP
Q07065	CKAP4
Q07108	CD69
Q07666	KHDRBS1
Q07812	BAX
Q07817	BCL2L1
Q07820	MCL1
Q07889	SOS1
Q07954	LRP1
Q07960	ARHGAP1
Q08170	SRSF4
Q08209	PPP3CA
Q08211	DHX9
Q08257	CRYZ
Q08378	GOLGA3
Q08379	GOLGA2
Q08380	LGALS3BP
Q08426	EHHADH
Q08495	DMTN
Q08623	PUDP
Q08722	CD47
Q08752	PPID
Q08945	SSRP1
Q08AF3	SLFN5
Q08AM6	VAC14
Q08J23	NSUN2
Q09028	RBBP4
Q09161	NCBP1
Q09428	ABCC8
Q09666	AHNAK
Q0VD83	APOBR
Q0VDF9	HSPA14
Q0VDG4	SCRN3
Q0ZGT2	NEXN
Q10471	GALNT2
Q10472	GALNT1
Q10567	AP1B1
Q10570	CPSF1
Q10589	BST2
Q10713	PMPCA
Q12765	SCRN1
Q12768	WASHC5
Q12769	NUP160
Q12788	TBL3
Q12789	GTF3C1
Q12792	TWF1
Q12797	ASPH
Q12802	AKAP13
Q12805	EFEMP1
Q12830	BPTF
Q12840	KIF5A
Q12841	FSTL1
Q12846	STX4
Q12849	GRSF1
Q12851	MAP4K2
Q12872	SFSWAP
Q12873	CHD3
Q12874	SF3A3
Q12882	DPYD
Q12888	TP53BP1
Q12904	AIMP1
Q12905	ILF2
Q12906	ILF3
Q12907	LMAN2
Q12913	PTPRJ
Q12931	TRAP1
Q12959	DLG1
Q12962	TAF10
Q12965	MYO1E
Q12968	NFATC3
Q12972	PPP1R8
Q12974	PTP4A2
Q12981	BNIP1
Q12986	NFX1
Q13011	ECH1
Q13017	ARHGAP5
Q13033	STRN3
Q13043	STK4
Q13045	FLII
Q13057	COASY
Q13087	PDIA2
Q13098	GPS1
Q13107	USP4
Q13123	IK
Q13131	PRKAA1
Q13136	PPFIA1
Q13144	EIF2B5
Q13148	TARDBP
Q13151	HNRNPA0
Q13153	PAK1
Q13155	AIMP2
Q13158	FADD
Q13162	PRDX4
Q13163	MAP2K5
Q13177	PAK2
Q13185	CBX3
Q13190	STX5
Q13191	CBLB
Q13200	PSMD2
Q13201	MMRN1
Q13206	DDX10
Q13217	DNAJC3
Q13228	SELENBP1
Q13232	NME3
Q13242	SRSF9
Q13243	SRSF5
Q13247	SRSF6
Q13263	TRIM28
Q13283	G3BP1
Q13287	NMI
Q13303	KCNAB2
Q13315	ATM
Q13325	IFIT5
Q13330	MTA1
Q13332	PTPRS
Q13347	EIF3I
Q13356	PPIL2
Q13363	CTBP1
Q13405	MRPL49
Q13409	DYNC1I2
Q13422	IKZF1
