"Accession","Abundances..Grouped...126.1","Abundances..Grouped...127.1","Abundances..Grouped...128.1","Abundances..Grouped...129.1","Abundances..Grouped...130.1","Abundances..Grouped...131.1","Abundances..Grouped...126.2","Abundances..Grouped...127.2","Abundances..Grouped...128.2","Abundances..Grouped...129.2","Abundances..Grouped...130.2","Abundances..Grouped...131.2","Abundances..Grouped...126.3","Abundances..Grouped...127.3","Abundances..Grouped...128.3","Abundances..Grouped...129.3","Abundances..Grouped...130.3","Abundances..Grouped...131.3"
"O95563",82.2,101.8,109.8,166.7,139.5,NA,NA,NA,NA,NA,NA,NA,83.5,107,82.2,145,182.3,NA
"O95568",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.7,14.8,119.5,142,158.6,33.3
"O95573",94.5,111.1,108.1,148.7,84.8,52.8,74.6,224.5,83.6,89.6,87.3,80.7,83.3,133.6,85.1,100,121.9,126
"O95630",NA,NA,NA,NA,NA,NA,57.8,122.1,119.3,99.5,96.1,105.1,NA,NA,NA,NA,NA,NA
"O95671",125.8,81.6,140.6,124.2,89.2,154.8,173.8,44.3,130.4,127.1,137,162.1,177.4,52,158,137.6,113.9,NA
"O95674",91.9,93.4,158.1,125.1,114.2,105.5,68.2,109.9,149,107.3,106.3,178.1,94.5,73.9,145.1,118.1,129.8,64.5
"O95684",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.4,98,60.8,68,76.5,224.2
"O95685",166.6,121.4,96.8,95.8,119.4,NA,88.4,99.7,112,101.6,122.6,75.6,158.2,140.5,98.4,88.5,114.4,NA
"O95696",144.5,77.3,141.9,100.8,135.5,NA,134.9,NA,182.7,113.5,168.9,NA,158.2,108.3,102.4,116.4,114.7,NA
"O95714",87.3,NA,257.5,134,121.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"O95716",226.6,NA,148.1,180.1,180.8,NA,79.9,75.6,97.2,111,268.6,309.8,102.1,45.9,133.5,167.9,181.2,NA
"O95721",157.7,102.2,188.1,98.2,109.8,110.7,60.5,147.3,65.7,61.5,82.1,182.8,139.1,101.2,79.4,88.4,94.3,117.1
"O95747",137.9,52.4,140.5,134.7,116.2,64.3,159.9,25.9,133.7,194.3,183.4,NA,128.2,132.5,133.6,146.5,170.7,28.3
"O95749",NA,NA,NA,NA,NA,NA,124.3,140.5,62.7,110.7,75.8,172.1,NA,NA,157,237.5,205.5,NA
"O95758",121.3,43,47.8,121.8,146.2,119.9,82.4,62.9,102.8,93.2,122,136.7,56.9,176.5,53.5,142.2,170.9,NA
"O95777",142.9,69.6,138.3,140.2,132.2,NA,130.2,49.2,126.6,143.9,157.9,67.2,138,55.3,131.3,147.1,125.9,31.1
"O95782",101.6,111,117,118.2,111.5,143.6,102.6,118.5,111.8,112.2,111.6,140.4,96.7,126.6,99.4,100.4,133.2,138.1
"O95786",153.7,83.5,116.4,123.8,126.8,33.4,155.4,70.6,103.2,108.7,137,50.2,131,84,109.1,209.4,122.3,83.7
"O95810",84.7,125.9,128.8,92.6,106.3,97.4,106.3,105.8,134.1,90.4,95.5,97.6,81.8,120.3,133.4,87.4,91.5,118.7
"O95822",80.5,85.6,100.5,104.6,154.7,74.2,72.3,104.1,73.2,73.1,77.3,199.8,129.1,89.3,112.8,109.7,102.2,56.9
"O95825",144.3,60.7,115.6,108.4,150.9,100.8,97.7,NA,74.7,202.4,225.3,NA,NA,NA,NA,NA,600,NA
"O95831",114.1,102.7,100.9,118.2,126.2,121.2,112.6,99.2,136.8,100.7,136.3,143.2,102.4,76.4,134.4,112.1,122.6,119.9
"O95833",77.5,69.6,53.9,84.2,88.9,225.9,117.1,NA,132.6,105.3,244.9,NA,NA,NA,NA,NA,NA,NA
"O95834",171,105.8,99.1,92,95.9,151.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"O95858",NA,NA,NA,NA,NA,NA,175.8,42.1,227,81.4,73.7,NA,275.9,NA,324.1,NA,NA,NA
"O95861",127,107.2,109.6,118.8,115.4,86.4,118.1,84.1,100.6,104,120.7,217.7,136.6,83.9,121.9,118.7,101.8,195.2
"O95865",181.7,114.1,117.2,122.3,96,237.3,200.8,79.8,108,121.3,95.2,114.7,278.4,69,100.7,100.2,76.1,89.4
"O95866",101.4,131.8,110.9,81.9,91.5,119.1,120.8,156.1,103.9,76.1,74.9,111.9,113.3,133.6,124.6,92.4,81.9,100.7
"O95876",NA,NA,NA,NA,NA,NA,23.5,133.5,30.9,23.9,26.4,361.8,NA,NA,NA,NA,NA,NA
"O95881",134.9,49.4,133.8,142.6,139.3,NA,98.2,59,120,141,142.9,38.9,130.7,68.3,129.3,120.9,150.7,NA
"O95980",89.9,150.6,119.9,126.2,113.4,NA,NA,NA,NA,NA,NA,NA,162.1,182.5,92.2,54.8,108.4,NA
"O95985",134.2,136.2,111.4,67.5,94.4,112.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"O95989",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.7,138,208.1,105.1,86,64.2
"O95996",NA,340.5,153.3,106.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"O95999",123.8,NA,180.6,122.5,173,NA,162.2,38.4,107.4,138.1,154,NA,74.1,NA,185.9,182.6,157.4,NA
"O96000",105.7,168.7,103.9,194,162.6,64.5,71,149,79.5,121.4,179.1,NA,127.3,181.2,115.1,139.3,123.4,49.6
"O96005",76.7,66.6,86.3,87.5,101.3,181.5,82.6,110.7,82.9,111.7,129.1,165.9,54.4,89.9,108,105.6,105.5,136.7
"O96008",NA,109.7,57,53.8,96.1,283.4,NA,NA,204.3,183.5,212.1,NA,403.7,13.4,123.3,109.3,101.9,44.8
"O96011",70.6,116.7,78.2,75.8,77.1,181.6,62.8,115.1,76.9,78.5,85.1,181.6,92.7,87,105.8,98.3,93.2,184.4
"O96013",101.8,174.3,104.8,119.1,99.9,NA,71.6,202.3,142.1,95.8,88.3,NA,NA,NA,239.4,480.3,NA,NA
"O96018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"O96019",84.5,82.6,95.1,87,103.4,262.3,79.2,81.1,77.5,98.4,123.8,250.5,117.6,143.5,106.4,115.1,110,215
"O96033",118.2,129,89.3,89.4,90,84.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P00338",118.7,84.6,123.1,125.9,134,45.8,176.4,126.4,98.2,113,115.6,76.2,103.8,120.8,108.4,113.2,110.9,78
"P00352",88.2,116.9,102.3,98.1,115.5,131.6,65.6,163.7,95.7,68.1,97.5,109.5,105.7,148.6,105,79.7,94.1,160.9
"P00367",129.5,65.2,132.5,128.1,143,36.3,121.4,83.8,115.3,127.7,133,73.5,134.4,83.2,141.6,140.6,134.8,52.7
"P00387",98.7,157,119.7,94.5,101.3,48,99.2,142.6,126.4,99.8,110.7,53.2,124.3,122.2,142.8,99.5,110.1,129
"P00390",143.1,116.9,82.4,95.1,88.4,209.9,84.2,125.8,69,82.8,83.2,174.5,70.4,127.6,75.5,74.6,87.6,184.9
"P00403",179,93.8,138,138.4,157.7,60.7,90.4,102.5,123.3,136.4,104.7,97.4,153.3,99.7,142,121.6,114.6,85
"P00441",93.6,86.1,136.8,107.4,98.7,142.6,88.7,100.9,94.2,103.1,107.5,156.1,100.9,88,106.7,114.3,109.6,117.8
"P00450",150.2,188.8,88,63.6,64.1,64.7,155,292.2,61.7,51.7,57.9,95.7,171.5,175.6,72.7,74.6,67.4,99.4
"P00488",104.3,105.8,143.4,94.2,124,108.3,106.1,113.1,162.9,88.2,91,108.8,108.1,117.4,130.3,90.4,90.2,89.2
"P00491",149.8,107.3,124,106.3,129.6,87.3,177.5,49.3,133.5,127.8,130.7,59.2,147.4,77.2,119.5,131.7,140.2,57
"P00492",109.6,78.3,220.5,134.5,134.8,68.8,125.6,30.5,134.7,142.1,154.9,79.3,95.1,146.8,122.9,125.3,108.3,76.5
"P00505",101,113.6,102.6,126.7,125.4,64,98.3,116.5,93.4,118.2,119.8,102.3,100.7,105.5,99.8,123.4,115.9,90.6
"P00519",NA,NA,NA,NA,NA,NA,136.1,463.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P00558",89.3,94.7,163.5,139.9,110.9,82.6,102.3,83.7,124.2,141.8,123.5,61.8,113.9,74.8,111,124,174.2,73.4
"P00734",245.9,38.1,127.3,106.4,74.6,84.1,172.7,133,101.5,95.1,74.1,250.8,230.7,60.5,140.5,113.3,85.3,NA
"P00740",49.8,138.6,44.3,33.9,37.6,295.8,61.7,160.9,23,12.5,10.7,331.2,48.5,261,34.4,22.3,34,199.8
"P00747",146.9,165.7,100.8,90.3,66.9,98.1,153.5,197.4,97.5,126.8,65,78.9,144.4,181.6,100.4,90.6,68,72.3
"P00748",285.1,99.4,100.1,85,66.9,121,150.4,72.8,98.2,102.8,63.9,111.8,164.5,97.5,109.8,180.6,47.6,NA
"P00813",146.7,76.4,113.2,136.8,100.2,61.1,131.9,114,110.3,127.7,103.2,82.6,155.2,79.6,116.5,138.5,102.5,55.3
"P00915",128.6,90,137.2,78.9,158.7,86.7,128.4,105.8,143.4,83.9,216.4,54.1,118.8,104.2,144.1,92.3,170.2,46.6
"P00918",155.3,118.1,132.7,87.9,132.3,69.7,117.7,94.5,137.8,81.8,128.5,54.6,122.3,107.8,128.4,83.9,124.2,67.8
"P01008",198,173.5,77,65.6,63.4,87.8,176.7,195.8,73.2,68.3,63.4,127.1,247.8,147.6,77.9,81.9,62.1,110.1
"P01009",297.3,11.9,66,134,98.7,NA,256.9,38.4,81.3,117,90.6,63.2,245.3,36.1,88.7,119.1,97.4,53.5
"P01011",172.7,102.4,80.9,106.9,81,109.8,185.2,111.8,72.7,132.3,69,106.9,161.4,110.1,91.7,94.9,89.7,129.5
"P01019",97.3,17.3,166.6,158,160.8,NA,255.8,93.4,119.1,110.2,112.8,70.1,139.9,147.2,111.5,86.4,99,31.8
"P01023",130.4,197.8,79.1,50.3,63,128,132.9,224.3,80.1,81.6,67.7,116.3,151.5,174.9,63.4,56.8,109.8,121.9
"P01024",156.2,138.2,79,75.3,63.8,92.7,155.2,147.5,71,69.4,60.5,107.1,169.2,137.3,81.7,82.9,65.2,79.2
"P01031",207.9,182,66.2,70.1,113.9,101.5,56.1,242,92.8,92.1,128.9,218.3,96.7,257.9,74.4,71.3,65.7,142.4
"P01033",141.2,182.2,145.8,171.7,116.6,47.4,108.3,371.6,122.2,202.3,140.8,77.9,129.5,294.3,146.9,225.6,144.4,NA
"P01034",144.4,87.7,110.3,131.3,126.2,NA,133.4,175.3,116.2,138,114.7,15.2,267,NA,190.6,142.4,NA,NA
"P01040",127.2,131.7,67.2,91.8,119.6,156,52.6,117.1,57.9,91.9,138.6,141.9,69.9,102.3,61.6,114.1,151,121.4
"P01042",133.6,185.5,65.9,60.7,58.5,172.7,187.1,158,68.9,54.7,65.4,142.2,126,162.6,52.2,43.4,50.4,178.8
"P01112",67.2,141.1,156.5,272.4,91.8,136.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P01116",NA,NA,NA,NA,NA,NA,123.4,104.2,226.5,97.3,100.4,109,85.3,91,118.1,99,101.5,105.2
"P01127",138.6,183.9,140.5,235.1,97,147.6,106.7,106.8,266.9,112.1,90.3,167.5,136.4,117,159.4,109.9,91.5,88.6
"P01133",135.7,58.4,181.1,161.8,160,NA,160,253,144.6,93.1,101.1,NA,208.5,52.1,191.5,90.1,83.8,NA
"P01137",79.3,184.3,100.5,108.9,92.4,110.2,57.2,251,80.7,74.8,82.1,109,78.1,184.1,98.1,85.6,169.7,126.3
"P01344",238.6,53.1,84.1,78.5,101.6,44.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P01591",277.1,123.6,63,66.4,69.9,NA,271.8,78.5,111.4,125,138.1,NA,128.9,96.2,117.9,103.5,105.2,96.7
"P01602",144.9,29.2,126.5,161.9,126.1,11.3,165,149.4,105.7,113.1,96,47.3,225.7,NA,165.3,209,NA,NA
"P01614",269.5,156.5,65.9,64.7,59.6,75.7,211.9,185,56.4,52.5,64.4,29.8,315.3,145.1,94.7,87.4,97.2,NA
"P01619",157.8,112.1,96.1,108.6,93,48.5,107,220.3,71.4,81.6,82.7,110.8,117.5,169.8,90.1,79.6,86.3,56.7
"P01700",181.1,123.2,104.4,64.7,79.6,94.1,212.3,221.8,41.4,64.5,60,NA,172.2,219.5,76.8,46.5,85.1,NA
"P01706",NA,NA,NA,NA,NA,NA,196.7,45.3,118.7,102.1,137.2,NA,NA,NA,NA,NA,NA,NA
"P01714",NA,NA,NA,NA,NA,NA,160.2,72.5,84.9,105.1,92.7,84.6,NA,NA,NA,NA,NA,NA
"P01718",600,NA,NA,NA,NA,NA,NA,NA,600,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P01732",160.1,130,43.6,66.9,63.1,136.3,109.1,119.3,56.2,67.9,67.5,179.9,130.5,117,66.7,80.6,78.4,126.8
"P01742",93.9,412.7,35.2,61.8,18.3,51.7,175.9,474.1,63.2,26.5,7.9,104.2,184.1,316.8,109.3,26.3,NA,36.4
"P01780",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125.1,429.4,79.4,44.3,71.4,96.5
"P01834",237.2,166.4,84.2,157.7,71.8,30.1,233.1,178,85.5,88.6,135.7,25.9,200.4,158.9,84.2,111.2,150.1,27.3
"P01859",218.7,71.5,94.1,74.5,98.4,109.3,213.6,149,71.8,63.2,80,109.8,201.2,98.8,85.3,74.8,82.5,149.8
"P01861",295.4,205.8,106,72.8,45.8,NA,308.9,147.9,69.7,52.2,85.5,19.4,296.8,130.6,65.6,40.6,66.4,NA
"P01876",346.5,114.3,100,28.3,32.5,51.7,314.6,130.2,59.7,34.8,38.8,79.4,283,138.2,53.4,31.2,39.8,60.4
"P01911",145.1,90.2,113.4,95.7,83.4,72.1,NA,NA,NA,NA,NA,NA,81.2,150.6,91.1,84.4,280.6,20
"P02042",116.3,43.9,174.3,127.8,175.3,32.3,119.1,53.2,175.7,137.6,153.9,124.9,99.9,65.8,179.5,134.2,197.2,20.8
"P02452",NA,NA,NA,NA,NA,NA,317.7,NA,40.6,77.4,164.3,NA,300.4,28,71.5,88.4,111.8,NA
"P02461",82.4,120.8,60.5,66,67.6,202.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P02545",110.1,62.2,112,131.4,131.6,86.8,124.2,45.2,112.2,127.8,132.4,90.5,119.5,51.9,122,128.2,135.8,76.8
"P02549",112.7,74.6,142.2,113,126.4,105.1,118.3,93.2,123.5,107,136.1,113,118.5,134.5,137.9,110.5,122.3,106.9
"P02647",158.6,173.9,76,63.6,50,103.9,143.4,180.9,82.7,62.8,50.9,93.1,146.2,157.1,72.7,69.8,50.2,115
"P02649",191.7,106.2,100.9,79.4,81,90.8,201.9,106.5,98.4,85.6,92.8,88,202.2,98.7,91.7,77.9,99.7,103.3
"P02654",197,129.4,93.3,118,79.5,180.4,165.1,152.2,94.1,116.5,87.3,116.7,271.4,170.2,100.9,109.1,84.6,207.5
"P02671",141,111.5,135.1,98.2,65.7,81.2,115.2,109.5,127.9,93.2,62.6,111.8,138.3,105.8,137.5,115.5,61,93.8
"P02675",128.3,88.1,173.8,125.9,72.7,54.6,145.9,83.4,189.9,108.1,73.4,49.5,125.8,65.3,169.1,124.1,88.8,49.7
"P02679",132.6,104.7,160.9,96.2,75,47.3,131.3,109.8,151.2,116.7,84.5,42.5,157.6,106.1,166,104.9,105.2,51.4
"P02686",206,18.2,156.4,131.4,162.8,NA,181.4,108.1,134.4,118.4,140.6,NA,396.1,NA,120.1,123.6,164.1,NA
"P02730",93.8,147.6,155.3,81.4,122.2,92.1,94.4,125.2,114.4,96.4,176.5,91.3,97,111.1,115,80.8,137.2,132.6
"P02743",151.8,250.4,29.4,42.6,34.6,91.3,129.9,257.7,52.7,51.2,53.2,82.8,180.5,169.1,61.7,62.6,76.3,99.7
"P02745",NA,NA,NA,NA,NA,NA,92.9,161.7,66.7,104.9,116.1,57.7,NA,NA,NA,NA,NA,NA
"P02746",40.9,35.7,214.3,158.8,150.4,NA,55.1,305.6,95.7,47.6,96,NA,76.2,56.7,177.7,164.8,124.5,NA
"P02747",62,133.5,137.2,100.2,103.9,63.2,93.9,331,26.1,37,21.9,90.2,85.2,293.8,41.4,44.3,49.8,85.6
"P02748",153.6,151,84,95.4,77.1,219.9,158.9,180.2,87,146.4,81.3,192.9,216.9,218.3,72.6,57.8,71.6,364.8
"P02749",198.5,142.9,66.4,82.3,67.8,70.2,188.8,98.4,151.9,96.4,86.6,157.7,181.2,154.2,74.9,81.7,104,56.7
"P02750",NA,NA,NA,NA,NA,NA,279.8,175.6,85.8,58.8,NA,NA,176.5,58.6,140.8,100.6,93.1,30.4
"P02751",143,126.3,107.2,81.7,66.8,89,134.8,146.7,94.6,80.6,64.5,98.7,140.4,136.9,108.5,89.9,68.4,81.1
"P02753",NA,437.7,NA,NA,162.3,NA,341.1,78.6,74.4,67.1,38.9,NA,185.7,170.5,80.5,74.7,88.6,NA
"P02760",274.9,144.3,111.4,74.7,68.3,62.4,239.8,136.1,187.1,119.3,70,246,360.8,131.9,111.2,54.6,60.5,NA
"P02763",230.4,126.1,99.7,83.2,70.7,60.5,256.6,108.1,97.3,86,71.7,73.7,240,80.7,108.2,97.2,79.1,57.3
"P02765",291.6,81,75.2,76.3,78.1,35.9,273.3,83.2,76.3,91.6,95.5,45.8,265.7,93.2,66.4,74,75.3,51.4
"P02768",217.7,105.7,80.3,74.2,64.2,77.3,216.2,118.3,74.6,73.8,63.8,68.1,208,124.7,74.4,72.8,60.1,80.4
"P02775",135.2,95.5,156,121.8,91.1,47.6,126.9,102.5,127.3,106.5,124.3,69.7,139.1,99.2,176.4,117.1,92.6,47
"P02776",104.9,103.5,174.5,116.6,92.2,78.8,85.8,128.5,185,120,83.2,91.2,92.9,121.1,164.9,114.2,77.8,101.7
"P02786",132.1,91.4,157.5,132.6,123.7,95.7,77.9,97.2,182.5,114,118,111.6,67.9,122.7,160.8,128.6,117,165.7
"P02787",182.7,110.2,73.3,66,74,106.3,217.1,106.8,72,67.1,62.2,106,216.7,97.3,71.2,59.6,68.3,105
"P02788",103.1,68.6,66.7,124.6,218.8,72.8,132.7,92.3,60.5,113.2,174.3,79.7,139,81.8,90.5,108.8,168.8,75.8
"P02790",208.6,103,105.3,91.5,90.1,38.4,255.1,77.9,109.2,86.6,79.9,NA,203,175.4,94.2,80.7,70.6,68.6
"P02792",115.5,39.5,94,187.8,172.9,30.8,91.9,62.4,95.9,222.5,156.5,52,120.1,51.8,105.9,173.3,162.7,17.5
"P02794",81.8,141.5,131.3,187,180,NA,80.3,56.5,116.1,182.2,148.4,186,83.5,70.4,116.1,139.5,144,69.9
"P02795",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190.9,99.8,70.5,41.8,109.3,142.3
"P03928",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.4,149.4,79.1,88.6,71.2,143.4
"P03951",245.1,181.9,67.9,41.3,63.9,NA,225.5,NA,130.9,100.1,143.6,NA,NA,NA,NA,NA,NA,NA
"P04003",198.1,151.4,118.3,89.5,118.5,NA,188.3,144.2,87.9,84.8,72,45.7,189.7,260.9,81.1,71.3,56.9,222.6
"P04004",157.9,89.4,116.1,95.2,86.7,208.7,180.3,58.9,133.1,113.3,99.5,44.4,196.7,55.5,124.1,122.8,102.2,51.4
"P04040",149.9,84.7,115.1,98.3,126.8,88.7,107.7,80.8,131.1,136.9,145.2,78.1,119.6,74.4,134.8,143.7,150,77.1
"P04053",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.7,130.4,28.2,33.3,45.8,337.6
"P04066",144.3,NA,155.6,141.7,158.3,NA,140,32.5,139.1,147.1,141.3,NA,147.8,NA,151.5,175.9,124.8,NA
"P04075",79.9,143.8,87.1,84,86.3,118.8,NA,NA,NA,NA,NA,NA,84.6,132.4,123.8,96.9,93.6,119.7
"P04080",61.7,115.6,84.1,149.8,141.1,234.9,67.7,93.8,97.7,158.9,170.5,233.1,39.1,174.1,89.3,120.4,132.5,176.3
"P04083",139.8,66.9,110.4,161.4,168.2,47.2,126.4,39.7,143.3,135.7,134,101.2,135.2,57.8,115.6,142,137.5,75.2
"P04085",130.9,251.6,102.8,96.6,83.6,NA,44.3,197.2,138.5,155.8,164.2,NA,125.7,216.1,91.2,147.1,88.3,79.2
"P04114",162,134,101.7,105.7,89.8,65,138.5,129.3,90.6,104.5,86.2,98.4,149.9,116.7,92.3,105.9,91.4,119
"P04156",171.7,196.9,61.1,51.1,40.9,164.1,188,96.1,102.4,110.8,76.3,26.4,119.1,160.6,81.6,80.9,63.2,134.3
"P04180",134.4,163,92.3,94.6,115.7,NA,200.1,158,68.1,69.4,45.7,58.8,NA,NA,NA,NA,NA,NA
"P04196",136.4,137.7,119.9,111.6,96.3,133.9,127,122.6,121.6,114.9,102.2,146,148.1,105.1,103.4,98.5,114.2,121.2
"P04217",142.6,218,105.6,85.6,102.4,35,192.3,197.2,125,101.7,91,160.2,220.2,137.7,100.2,111.9,85,NA
"P04220",158.4,227.5,35.1,36.7,46.5,95.8,157.8,230.3,36.6,31.6,49.6,94.2,163.4,233.9,42.4,36.5,43.4,80.5
"P04233",154,60.8,108.8,106.1,155.5,89.4,NA,NA,NA,NA,NA,NA,115.4,46.2,117.6,107.2,156.9,113.4
"P04234",211.3,111.2,123.5,112.9,166,NA,155.1,67.8,119.2,147.2,133.4,NA,172,34,158.7,165.9,129.7,64.3
"P04264",119.6,67.9,213.4,83.8,43.7,142.3,130.4,82.4,193.2,67.4,46.3,143.7,133.4,70.5,218.8,71.2,41.6,110.2
"P04275",139.5,88.3,118.9,84.8,103.2,78.1,159.7,102.2,111.1,79.9,92.8,96.1,143.9,92.3,144.3,94.4,106.1,76.3
"P04406",71.6,117.7,79.1,139.4,92.2,170.6,84.5,108.4,77.2,106.8,103.4,176.5,70.2,127.6,113.8,97.3,87.7,158.6
"P04424",67.1,124.8,135,131.8,111.2,60.2,76.5,148.5,158.9,257.2,96.3,67.9,68.6,151.6,102.4,112.5,99.7,86.9
"P04440",38.4,348.1,59.4,49.9,104.2,NA,30.4,332.9,88.3,31.9,116.6,NA,NA,NA,NA,NA,NA,NA
"P04732",255.2,81.5,80.4,93.7,89.2,NA,NA,NA,NA,NA,NA,NA,145.7,150.4,149.8,87.5,66.6,NA
"P04745",136.7,107.8,68.4,70.2,75.6,211.7,114.2,99.4,64.3,89.8,84.7,147.5,76.4,118.8,58.4,75.6,65.5,205.2
"P04792",96.2,153.2,100.6,88.6,67.6,93.8,91.6,154.3,105.3,84.6,57.8,141.8,87.6,144.8,130.8,102.1,64.6,124.8
"P04839",75.4,103.1,104.2,126.5,141.8,116.2,80.7,98,105.5,123.1,160.7,118.8,65.7,89.8,80.1,165.5,162,191.5
"P04843",113.9,85.5,121.7,119.9,122.2,101.6,131.2,85,120,109.7,121.4,145.3,110,104.4,104.4,101.3,102.2,115.3
"P04844",126.1,128.7,111.2,133.1,138.8,105.7,197,158.4,129.2,96.2,90.2,139.5,205.1,114.4,136.1,154.1,131.3,100.7
"P04899",134.2,51,115,147.9,135.2,54.3,120.2,67.9,114.3,144,135.9,89.1,134.4,82.6,111.4,134.2,128.4,71.7
"P04920",126.5,120.4,107.6,101.5,82.3,122.3,183.3,259.7,157,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P04921",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.2,NA,150.9,161.5,189.4,NA
"P05023",98,92.2,107.7,118.7,130.8,83.9,100.3,89.3,108.2,115.7,110.9,107.9,115.9,83.9,105.5,113.1,108.6,106.9
"P05067",118.1,120.1,157.2,117.2,151.3,61.6,133.2,89.8,159.4,120,106.4,54.4,142,81.2,146.4,124.9,110.3,86.1
"P05089",125.4,39.1,169,135.2,150.8,NA,110.2,64.3,178.8,147.5,131.3,NA,104.7,38,151.8,131.5,173.6,38.6
"P05091",131.8,32,148.6,174.9,115.3,24.6,140.7,36.9,261,365.2,101.6,NA,149.9,NA,221.2,195.3,125.2,NA
"P05106",107,145,131,106.3,86.3,76.6,113.4,121.8,149.2,103.2,90.8,69.9,128.1,107.6,135.9,98.9,90.2,53.4
"P05107",114.2,61.6,91.9,149.8,140.4,76,125,52.1,109.2,127.5,144.2,92.8,121,60.1,95.8,126.8,138.1,102.3
"P05109",82.4,55,88.4,199.4,192.2,92.5,64.6,85.6,80.2,154.6,194,131.4,88.6,68.7,74.2,214.8,161,87.9
"P05114",103.1,117.1,89.2,98.4,101.4,190.2,93.2,98.7,82.1,88.5,108.2,143.7,73.2,90.4,109.4,115.7,118.2,260
"P05120",NA,NA,NA,NA,NA,NA,161.2,NA,110.3,97.9,230.6,NA,73.1,85.5,34.6,144.1,117.6,145.1
"P05121",124,73.2,153.4,128.3,121.5,70.5,117.9,70.3,115.2,124,125.5,70.7,114.8,81,126.1,121.3,137.9,47.2
"P05141",91.5,89.4,114.7,111.1,131.9,133.2,90.8,109.7,104.1,95,105.8,148.8,95.3,112.8,102.4,94.4,97.6,187.8
"P05154",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.3,NA,109.4,43.6,109.2,270.5
"P05155",173.1,162.7,99.5,80.1,86.5,250.3,191.6,204.1,85.8,69.8,90.1,139.4,90.1,201,100.6,74,118,192.1
"P05161",212.6,125.8,44.5,54.5,106.3,173.2,283.3,41.3,59.3,70.1,145.9,NA,193.4,125.4,54.4,56.9,107.8,124.5
"P05164",94.2,95.7,78.1,148.2,158.9,86.2,85.9,87.3,76.3,146.9,160.4,81.5,99.5,84.9,85.8,149.7,140.4,88.4
"P05165",122,111.6,155.8,127.9,87.7,48.5,120.3,86.4,112.3,123.4,134.2,70.2,112,101.2,103.5,111.9,110.7,91
"P05198",106.3,84,108,102.5,109.9,122.1,111,119.8,95.7,120.1,108.9,106.7,107.4,93.4,82.5,111,104.9,117.6
"P05204",50.9,120.7,54.6,82.4,76.1,224.3,61.7,103.1,64.3,67.4,75.7,260.6,73.9,98.7,103.1,86.1,99.5,223.2
"P05386",56.9,4.5,113.5,214.1,191.1,20,171,NA,105.8,156.3,161.7,10.6,76.4,2.4,121.7,200.4,194.7,11.2
"P05387",127.4,38.9,189,183.9,137,NA,179.7,48.9,193.9,130.4,123.4,147.3,110.5,38.9,136.1,150,143,53.8
"P05388",123.8,57.9,111.2,213.6,131.6,75.6,107.1,61.6,135.1,231.3,216.5,57,144.5,73.4,111.6,191.6,122.3,100.8
"P05413",NA,NA,NA,NA,NA,NA,54.9,124.5,139.8,128.5,152.3,NA,45.9,125.5,150.2,113.5,127,37.9
"P05452",192.6,81.9,66.3,71.6,79.9,107.8,225.4,75.8,68.1,89.9,84.6,168.4,293.8,20.4,66.9,91.2,93.2,34.5
"P05455",123.7,89.1,84.6,119.7,112.3,139.1,124.4,87.5,107.1,104.3,122.8,143.9,115.3,79.4,141.5,121.9,115.9,136.6
"P05543",87.1,187.9,23.8,29.6,31.9,239.7,113.7,159.8,33,44.7,46.6,202.2,114,198.4,24.8,34.1,33.6,195.1
"P05546",195.8,124,110.3,100.3,144.2,146.8,218.9,70.5,136.9,132.8,106.6,20.1,193.3,96.8,120.6,120.3,102.4,26
"P05556",114.7,137.1,147.7,125.3,110.4,90.3,121.3,113.6,171.3,127.7,112.8,85.6,122.8,113.5,128.1,109.5,104.3,88.4
